# Verification of campaign reproduction: archived value vs re-fit under 3d7f883,
# env/Manifest.toml (MathOptInterface 1.48.0), seeded sample, seed 20260828.
# Produced by scripts/verify_reproduction.jl. See REPRODUCE.md section 3.
freq,braco,series,smape_gravado,smape_refeito,delta,ordem_gravada,ordem_refeita,status
monthly,ridge_pen,14793,1.2067,1.2049,-0.0018,"0,1,3,0,0,1","0,1,3,0,0,1","OK"
monthly,ridge_pen,12280,2.4488,2.4488,0.0,"0,1,0,1,0,0","0,1,0,1,0,0","OK"
monthly,ridge_pen,10427,0.882,0.8035,-0.0785,"0,2,1,2,0,0","0,2,1,0,0,2","OK"
monthly,ridge_pen,5684,3.3195,3.8,0.4805,"0,1,4,0,0,2","0,1,3,2,0,0","OK"
monthly,ridge_pen,21197,4.8468,5.8059,0.9591,"0,1,2,0,1,1","0,1,2,0,1,1","OK"
monthly,ridge_pen,656,3.2246,3.4761,0.2515,"1,2,1,1,0,2","1,2,1,1,0,2","OK"
monthly,ridge_pen,44633,3.3956,3.3956,0.0,"0,1,0,0,0,0","0,1,0,0,0,0","OK"
monthly,ridge_pen,29464,1.0595,1.0626,0.0031,"3,1,1,2,0,0","3,1,1,2,0,0","OK"
monthly,ridge_pen,23112,0.4588,0.4669,0.0081,"2,0,2,1,1,2","2,0,2,1,1,2","OK"
monthly,mae_pen,22105,1.6348,1.5913,-0.0435,"0,1,1,2,0,1","0,1,0,2,0,0","OK"
monthly,mae_pen,25346,6.5122,6.5061,-0.0061,"0,1,1,0,0,0","0,1,1,0,0,0","OK"
monthly,mae_pen,19406,26.3382,35.5475,9.2093,"0,1,0,0,1,1","0,1,0,1,1,0","OK"
monthly,mae_pen,27262,1.191,1.191,0.0,"0,1,1,0,0,0","0,1,1,0,0,0","OK"
monthly,mae_pen,23937,3.5808,3.5943,0.0135,"0,1,2,1,0,1","2,1,1,0,0,2","OK"
monthly,mae_pen,47106,37.1539,25.7181,-11.4358,"0,1,1,0,0,0","0,1,2,1,0,0","OK"
monthly,mae_pen,42973,35.012,34.456,-0.556,"0,1,1,0,0,0","0,1,1,0,0,0","OK"
monthly,mae_pen,23606,5.8181,7.236,1.4179,"2,1,1,0,1,1","2,1,1,2,1,0","OK"
monthly,mae_pen,43595,12.9819,12.9819,0.0,"0,1,0,1,0,0","0,1,0,1,0,0","OK"
monthly,mae_pen,13225,2.7581,3.4274,0.6693,"1,1,2,1,0,2","2,1,2,2,0,0","OK"
monthly,mae_pen,42988,31.612,31.3111,-0.3009,"0,1,4,0,0,0","0,1,4,0,0,0","OK"
monthly,mae_pen,19174,43.2683,43.2683,0.0,"0,1,0,0,0,0","0,1,0,0,0,0","OK"
monthly,mae_pen,22429,1.5481,2.1736,0.6255,"0,1,0,2,0,1","0,1,0,2,0,0","OK"
monthly,mae_pen,28699,1.7712,21.1428,19.3716,"0,2,2,2,0,0","3,2,0,0,0,0","OK"
