# provenance: campaign=B sarimax_commit=not_recorded sarimax_tree=not_recorded julia=not_recorded platform=Windows-x86_64 source_file=objetivos_penal.csv
# Solver versions and harness repository state were not captured at run time; see REPRODUCE.md for the reconstruction and its evidence.
# original header: series,T,celula,p,d,q,P,D,Q,smape,mase,max_coef,prev_neg,tempo,status
series,T,cell,p,d,q,P,D,Q,smape,mase,max_coef,forecast_negative,seconds,status,campaign,sarimax_commit,sarimax_tree,harness_commit,harness_tree,julia,moi,ipopt,jump,platform,source_file
28465,234,"ridge_pen",2,1,0,0,0,0,1.151,0.2416,0.444,0,9.72,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_penal.csv"
31949,220,"mae_pen",1,0,0,1,1,0,0.6393,0.4268,0.9719,0,23.3,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_penal.csv"
23892,450,"mae_pen",1,1,1,2,0,0,0.966,0.4091,0.2906,0,250.33,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_penal.csv"
2190,306,"ridge_pen",0,1,2,0,1,2,3.5254,0.8394,0.6199,0,15.63,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_penal.csv"
15002,175,"huber_pen",0,1,1,2,0,0,3.0111,0.5832,0.8777,0,40.53,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_penal.csv"
26219,191,"ridge_pen",4,1,1,1,0,2,2.8965,0.5551,0.3861,0,23.47,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_penal.csv"
21660,103,"ridge_pen",1,0,1,2,1,1,2.4165,0.5268,0.8066,0,5.03,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_penal.csv"
23605,419,"mae_pen",3,1,0,2,0,0,8.7939,0.7546,0.3806,0,282.17,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_penal.csv"
2000,306,"mae_pen",1,0,1,0,1,1,3.0602,1.6443,0.9839,0,261.93,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_penal.csv"
17068,185,"mae_pen",0,1,0,0,0,0,2.0365,0.2956,0.0,0,22.72,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_penal.csv"
31108,330,"huber_pen",0,1,1,0,0,2,7.6193,1.1737,0.5398,0,306.88,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_penal.csv"
21817,306,"huber_pen",0,1,1,2,0,0,0.7551,0.3825,0.3837,0,274.56,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_penal.csv"
45839,66,"mae_pen",0,1,1,0,0,0,20.3598,0.3844,0.6126,0,5.37,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_penal.csv"
33862,91,"ridge_pen",1,0,0,0,1,2,45.8636,0.5949,0.4574,0,3.99,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_penal.csv"
38084,330,"ridge_pen",0,1,1,2,0,0,10.1836,0.5815,0.5977,0,27.9,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_penal.csv"
34775,68,"huber_pen",0,1,2,0,0,0,26.0256,0.7539,1.1326,0,24.67,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_penal.csv"
6399,193,"mae_pen",1,0,0,2,1,0,1.7199,0.7576,0.9863,0,25.03,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_penal.csv"
13086,150,"mae_pen",0,1,0,0,0,0,1.5734,0.4091,0.0,0,5.89,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_penal.csv"
21292,186,"mae_pen",1,1,0,1,0,2,9.965,0.3549,0.8368,0,42.42,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_penal.csv"
30608,233,"ridge_pen",0,1,1,0,1,1,0.765,0.2625,0.5344,0,8.08,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_penal.csv"
40150,427,"huber_pen",1,1,0,2,0,0,5.1817,0.0649,0.2232,0,868.16,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_penal.csv"
21134,186,"ridge_pen",2,1,2,0,0,2,3.7277,0.8899,0.4441,0,8.6,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_penal.csv"
41712,140,"huber_pen",0,1,1,1,0,1,32.0681,0.522,0.8209,0,59.25,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_penal.csv"
30822,293,"ridge_pen",3,1,0,0,0,2,4.0995,0.3893,0.3801,0,25.35,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_penal.csv"
43767,181,"huber_pen",0,2,1,0,0,0,14.9481,0.4427,0.8829,0,44.78,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_penal.csv"
19602,69,"mae_pen",0,1,2,0,0,1,17.9984,0.4232,1.6789,0,13.66,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_penal.csv"
36305,104,"huber_pen",2,2,2,0,0,0,10.8109,0.9659,1.1056,0,18.88,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_penal.csv"
21583,104,"huber_pen",2,1,1,1,0,1,6.6367,0.6894,0.9345,0,68.02,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_penal.csv"
23723,184,"ridge_pen",0,1,1,0,0,1,13.1201,1.8168,0.2809,0,6.12,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_penal.csv"
40350,391,"mae_pen",0,1,2,1,0,1,4.6225,0.7602,0.8306,0,414.83,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_penal.csv"
39336,207,"huber_pen",1,1,0,1,0,2,28.3156,0.2155,0.3618,0,200.69,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_penal.csv"
1847,306,"mae_pen",1,0,2,1,1,1,4.8262,1.3704,0.9623,0,163.08,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_penal.csv"
41968,78,"huber_pen",0,1,0,0,0,0,6.76,0.4371,0.0,0,7.22,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_penal.csv"
29402,306,"mae_pen",1,1,2,0,0,1,4.852,1.103,0.9673,0,143.85,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_penal.csv"
40773,305,"ridge_pen",0,1,0,0,0,0,3.8815,0.3783,0.0,0,6.86,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_penal.csv"
