# provenance: campaign=E sarimax_commit=6e8e0bd sarimax_tree=clean julia=1.9.4 platform=Windows-x86_64 source_file=eixos_6e8e0bd.csv
# Solver versions and harness repository state were not captured at run time; see REPRODUCE.md for the reconstruction and its evidence.
# original header: celula,freq,series,p,d,q,P,D,Q,smape,mase,tempo,status
cell,freq,series,p,d,q,P,D,Q,smape,mase,seconds,status,campaign,sarimax_commit,sarimax_tree,harness_commit,harness_tree,julia,moi,ipopt,jump,platform,source_file
"base","weekly",82,5,2,5,0,0,0,0.517,2.8379,6.73,"OK","E","6e8e0bd","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","eixos_6e8e0bd.csv"
"base","weekly",83,1,1,0,0,0,0,1.1387,1.9395,0.52,"OK","E","6e8e0bd","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","eixos_6e8e0bd.csv"
"base","weekly",84,1,1,0,0,0,0,1.3306,2.1174,0.51,"OK","E","6e8e0bd","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","eixos_6e8e0bd.csv"
"base","weekly",85,1,1,1,0,0,0,1.5677,4.753,0.97,"OK","E","6e8e0bd","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","eixos_6e8e0bd.csv"
"base","weekly",86,3,1,3,0,0,0,1.9119,5.5596,2.86,"OK","E","6e8e0bd","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","eixos_6e8e0bd.csv"
"base","weekly",87,2,1,3,0,0,0,2.1455,2.4276,1.51,"OK","E","6e8e0bd","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","eixos_6e8e0bd.csv"
"base","weekly",88,3,2,2,0,0,0,0.5635,2.0057,700.32,"OK","E","6e8e0bd","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","eixos_6e8e0bd.csv"
"base","weekly",89,1,1,1,0,0,0,7.6178,1.0191,2.55,"OK","E","6e8e0bd","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","eixos_6e8e0bd.csv"
"base","weekly",90,3,1,3,0,0,0,0.9346,1.0483,6.19,"OK","E","6e8e0bd","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","eixos_6e8e0bd.csv"
"base","weekly",91,4,1,0,0,0,0,0.7865,1.2555,4.34,"OK","E","6e8e0bd","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","eixos_6e8e0bd.csv"
