# provenance: campaign=B sarimax_commit=not_recorded sarimax_tree=not_recorded julia=not_recorded platform=Windows-x86_64 source_file=objetivos_monthly.csv
# Solver versions and harness repository state were not captured at run time; see REPRODUCE.md for the reconstruction and its evidence.
# original header: series,T,celula,p,d,q,P,D,Q,smape,mase,max_coef,prev_neg,tempo,status
series,T,cell,p,d,q,P,D,Q,smape,mase,max_coef,forecast_negative,seconds,status,campaign,sarimax_commit,sarimax_tree,harness_commit,harness_tree,julia,moi,ipopt,jump,platform,source_file
20404,69,"mse",0,2,3,0,0,0,10.5642,0.3555,0.6029,0,3.54,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_monthly.csv"
23791,432,"huber",0,1,2,0,1,1,10.1228,0.545,0.7991,0,13.27,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_monthly.csv"
18553,79,"mse",0,0,1,0,1,1,10.6202,0.5397,0.747,0,0.82,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_monthly.csv"
6381,78,"ridge",0,1,1,0,0,0,168.5174,0.8674,0.4833,1,0.31,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_monthly.csv"
5738,352,"mse",1,1,1,0,0,2,3.9053,0.9259,0.9369,0,43.65,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_monthly.csv"
20081,69,"ridge",1,1,1,0,0,0,15.8231,0.2873,0.3667,0,0.48,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_monthly.csv"
31171,516,"huber",0,1,1,1,0,0,5.4204,0.5402,0.6156,0,10.6,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_monthly.csv"
25421,202,"mse",2,1,0,2,0,0,2.4087,1.1547,0.4318,0,5.23,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_monthly.csv"
20013,69,"mse",2,1,1,0,0,0,7.0398,0.2066,0.9375,0,2.36,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_monthly.csv"
6619,218,"mse",0,1,1,2,0,1,7.0528,0.5831,0.498,0,7.38,"OK","B","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","not_recorded","Windows-x86_64","objetivos_monthly.csv"
